"Year","Month","Average Chl"
1997,10,0.131
1997,11,0.124
1997,12,0.129
1998,01,0.126
1998,02,0.123
1998,03,0.121
1998,04,0.127
1998,05,0.132
1998,06,0.136
1998,07,0.140
1998,08,0.142
1998,09,0.136
1998,10,0.129
1998,11,0.125
1998,12,0.132
1999,01,0.129
1999,02,0.130
1999,03,0.126
1999,04,0.128
1999,05,0.136
1999,06,0.139
1999,07,0.142
1999,08,0.144
1999,09,0.144
1999,10,0.138
1999,11,0.134
1999,12,0.134
2000,01,0.132
2000,02,0.130
2000,03,0.127
2000,04,0.130
2000,05,0.137
2000,06,0.143
2000,07,0.146
2000,08,0.146
2000,09,0.142
2000,10,0.136
2000,11,0.129
2000,12,0.132
2001,01,0.131
2001,02,0.130
2001,03,0.129
2001,04,0.132
2001,05,0.139
2001,06,0.142
2001,07,0.144
2001,08,0.148
2001,09,0.144
2001,10,0.135
2001,11,0.132
2001,12,0.130
2002,01,0.126
2002,02,0.126
2002,03,0.125
2002,04,0.129
2002,05,0.140
2002,06,0.146
2002,07,0.148
2002,08,0.151
2002,09,0.150
2002,10,0.143
2002,11,0.138
2002,12,0.136
2003,01,0.138
2003,02,0.138
2003,03,0.134
2003,04,0.136
2003,05,0.145
2003,06,0.150
2003,07,0.153
2003,08,0.151
2003,09,0.150
2003,10,0.146
2003,11,0.139
2003,12,0.140
2004,01,0.138
2004,02,0.134
2004,03,0.135
2004,04,0.138
2004,05,0.145
2004,06,0.149
2004,07,0.154
2004,08,0.153
2004,09,0.151
2004,10,0.143
2004,11,0.135
2004,12,0.138
2005,01,0.136
2005,02,0.136
2005,03,0.133
2005,04,0.135
2005,05,0.142
2005,06,0.146
2005,07,0.151
2005,08,0.150
2005,09,0.150
2005,10,0.142
2005,11,0.137
2005,12,0.140
2006,01,0.139
2006,02,0.137
2006,03,0.135
2006,04,0.138
2006,05,0.142
2006,06,0.147
2006,07,0.151
2006,08,0.150
2006,09,0.148
2006,10,0.142
2006,11,0.137
2006,12,0.135
2007,01,0.136
2007,02,0.134
2007,03,0.134
2007,04,0.137
2007,05,0.143
2007,06,0.150
2007,07,0.154
2007,08,0.151
2007,09,0.150
2007,10,0.143
2007,11,0.138
2007,12,0.137
2008,01,0.137
2008,02,0.136
2008,03,0.132
2008,04,0.137
2008,05,0.147
2008,06,0.150
2008,07,0.149
2008,08,0.154
2008,09,0.150
2008,10,0.143
2008,11,0.140
2008,12,0.140
2009,01,0.140
2009,02,0.142
2009,03,0.141
2009,04,0.139
2009,05,0.145
2009,06,0.148
2009,07,0.150
2009,08,0.151
2009,09,0.147
2009,10,0.141
2009,11,0.137
2009,12,0.140
2010,01,0.141
2010,02,0.141
2010,03,0.139
2010,04,0.139
2010,05,0.147
2010,06,0.154
2010,07,0.156
2010,08,0.156
2010,09,0.153
2010,10,0.148
2010,11,0.142
2010,12,0.142
2011,01,0.143
2011,02,0.140
2011,03,0.138
2011,04,0.138
2011,05,0.144
2011,06,0.151
2011,07,0.158
2011,08,0.159
2011,09,0.159
2011,10,0.149
2011,11,0.138
2011,12,0.135
2012,01,0.135
2012,02,0.134
2012,03,0.136
2012,04,0.130
2012,05,0.132
2012,06,0.141
2012,07,0.142
2012,08,0.143
2012,09,0.140
2012,10,0.134
2012,11,0.128
2012,12,0.125
2013,01,0.125
2013,02,0.124
2013,03,0.125
2013,04,0.128
2013,05,0.131
2013,06,0.137
2013,07,0.138
2013,08,0.140
2013,09,0.137
2013,10,0.134
2013,11,0.128
2013,12,0.127
2014,01,0.127
2014,02,0.127
2014,03,0.124
2014,04,0.125
2014,05,0.126
2014,06,0.133
2014,07,0.138
2014,08,0.140
2014,09,0.137
2014,10,0.132
2014,11,0.125
2014,12,0.125
2015,01,0.124
2015,02,0.124
2015,03,0.124
2015,04,0.123
2015,05,0.128
2015,06,0.130
2015,07,0.135
2015,08,0.139
2015,09,0.139
2015,10,0.130
2015,11,0.123
2015,12,0.124
2016,01,0.125
2016,02,0.125
2016,03,0.121
2016,04,0.123
2016,05,0.128
2016,06,0.130
2016,07,0.133
2016,08,0.137
2016,09,0.137
2016,10,0.132
2016,11,0.128
2016,12,0.125
2017,01,0.124
2017,02,0.123
2017,03,0.123
2017,04,0.126
2017,05,0.129
2017,06,0.135
2017,07,0.138
2017,08,0.142
2017,09,0.139
2017,10,0.132
2017,11,0.126
2017,12,0.129
2018,01,0.124
2018,02,0.122
2018,03,0.122
2018,04,0.123
2018,05,0.128
2018,06,0.133
2018,07,0.139
2018,08,0.139
2018,09,0.138
2018,10,0.129
2018,11,0.124
2018,12,0.124
2019,01,0.125
2019,02,0.127
2019,03,0.125
2019,04,0.124
2019,05,0.130
2019,06,0.136
2019,07,0.135
2019,08,0.139
2019,09,0.141
2019,10,0.129
2019,11,0.131
2019,12,0.131
